"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"
"ENSG00000166819"	171.915745519733	-5.19387673799475	0.418697301799281	1.20343734273186e-43	1.19246299183441e-41	"PLIN1"
"ENSG00000116704"	1289.53576910588	-2.75642133636409	0.207316465207741	1.21177886404378e-43	1.19453912350378e-41	"SLC35D1"
"ENSG00000166840"	3028.45552485919	-6.73211499698411	0.630270221649027	1.33172521365923e-43	1.30604681979585e-41	"GLYATL1"
"ENSG00000165471"	1564.65686170757	-8.08986174774802	0.812579857532753	1.77565996756201e-43	1.73253679692122e-41	"MBL2"
"ENSG00000112294"	1757.18572767222	-2.92491626136804	0.222360171086393	3.61377324957762e-43	3.50811165608743e-41	"ALDH5A1"
"ENSG00000244067"	2316.95881088362	-7.48665427901026	0.692473303515767	4.41895105264039e-43	4.26808181468155e-41	"GSTA2"
"ENSG00000118785"	36976.5431305772	5.65246933299284	0.500082792096475	6.76460259582399e-43	6.4683130021269e-41	"SPP1"
"ENSG00000142494"	1245.47891217742	-4.6999661877146	0.376374760637172	6.96984247182554e-43	6.63140633986028e-41	"SLC47A1"
"ENSG00000088926"	1645.03739430343	-5.85543173153679	0.507449909632796	1.10378444714055e-42	1.03984107227172e-40	"F11"
"ENSG00000159200"	1181.86144160573	-2.90550567656481	0.222331171484855	1.26300659193975e-42	1.18400676785568e-40	"RCAN1"
"ENSG00000129596"	2411.72590420875	-6.96483773726494	0.668223440127726	1.33699017276593e-42	1.24724878360856e-40	"CDO1"
"ENSG00000100714"	4586.83538205253	-2.79119756428043	0.213233749533298	1.56392935190655e-42	1.45187305465344e-40	"MTHFD1"
"ENSG00000143278"	2105.62598956876	-7.99048068490235	0.831120747840465	1.96981021933651e-42	1.8198381949078e-40	"F13B"
"ENSG00000164619"	205.157724238319	-5.36389394784018	0.449315276606842	2.07661000303866e-42	1.90928315856305e-40	"BMPER"
"ENSG00000110887"	802.899667160713	-6.97319854522462	0.635271669020952	2.35173891603472e-42	2.15189736986832e-40	"DAO"
"ENSG00000084110"	1689.57511130615	-6.49851874032727	0.578037292330575	3.10182309897947e-42	2.8247269021373e-40	"HAL"
"ENSG00000174990"	194.754136413295	-6.78659684105076	0.583556857857149	3.52102612698784e-42	3.19128453329457e-40	"CA5A"
"ENSG00000052802"	2210.24161164187	-3.05531085519871	0.236924151171997	3.78503829365519e-42	3.41439020414443e-40	"MSMO1"
"ENSG00000158571"	240.649286667812	-5.8975090937597	0.4953322439034	4.90619163961014e-42	4.40497694440865e-40	"PFKFB1"
"ENSG00000168237"	3003.43494751475	-4.53566347443226	0.376791725084649	5.23451407830363e-42	4.67779659969526e-40	"GLYCTK"
"ENSG00000175189"	1538.01564074725	-6.7818904918092	0.654515224836084	6.99715901177096e-42	6.19507726579203e-40	"INHBC"
"ENSG00000135094"	3747.55894561618	-4.91308076703069	0.419210388475791	7.05655477497084e-42	6.21887343394204e-40	"SDS"
"ENSG00000133027"	1365.68873249514	-2.86070174428963	0.221198134074006	8.41781254613489e-42	7.35078754028692e-40	"PEMT"
"ENSG00000266964"	1371.98718407626	-6.06244526022808	0.516287079722013	8.63367264330066e-42	7.5050161650219e-40	"FXYD1"
"ENSG00000100889"	2876.2266426907	-4.29666992576981	0.35367336388254	9.5828572061094e-42	8.29242358414643e-40	"PCK2"
"ENSG00000171503"	1586.41005953834	-3.09764098669071	0.241829956419493	1.11664348810319e-41	9.61922975967812e-40	"ETFDH"
